,tconst,primary_title,genres,numvotes,averagerating,start_year,runtime_minutes,Comedy,Action,Documentary,Sport,Musical,Animation,Romance,News,Game-Show,Fantasy,Horror,History,Biography,Drama,Music,Sci-Fi,Thriller,Adventure,Family,Crime,Western,Mystery,War
55695,tt5663990,Zg80,"['Action', 'Comedy']",2061,7.1,2016,90.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55701,tt5664636,Goosebumps 2: Haunted Halloween,"['Adventure', 'Comedy', 'Family']",11459,5.6,2018,90.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
55707,tt5665452,Sun Dogs,"['Comedy', 'Drama']",1223,6.3,2017,94.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55716,tt5666304,The Little Hours,"['Comedy', 'Romance']",15182,5.8,2017,90.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55730,tt5668054,Generational Sins,['Drama'],1602,7.7,2017,90.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55741,tt5669936,The Recall,"['Action', 'Sci-Fi', 'Thriller']",6214,4.4,2017,90.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
55743,tt5670152,Traffik,"['Action', 'Crime', 'Drama']",16662,6.0,2018,96.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
55776,tt5673432,Get Big,"['Comedy', 'Drama']",1592,7.7,2017,86.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55783,tt5673884,Clinton Cash,['Documentary'],1299,7.2,2016,60.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55789,tt5674842,A Stroke of Luck,['Comedy'],1472,4.6,2016,90.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55814,tt5679554,Coffin 2,"['Crime', 'Horror', 'Thriller']",2972,4.5,2017,101.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
55820,tt5680626,30 Years Ago,"['Drama', 'Thriller']",1247,7.1,2016,145.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
55830,tt5684466,A Aa,"['Action', 'Comedy', 'Drama']",1532,6.8,2016,152.0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
