tconst,genres,numvotes,averagerating,start_year,runtime_minutes,Adult,Sport,Sci-Fi,Fantasy,News,Western,Thriller,Family,Game-Show,Mystery,Music,Reality-TV,Animation,Drama,Adventure,Romance,History,Horror,War,Short,Biography,Documentary,Crime,Musical,Comedy,Action,release_date,movie,production_budget,domestic_gross,worldwide_gross,year,month,roi
tt2107644,"['Drama', 'Horror', 'Thriller']",72,5.4,2013,76.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2015-09-29,a plague so pleasant,1400.0,$0,0.0,2015,9,-100.0
tt2109184,"['Horror', 'Mystery', 'Thriller']",58408,4.6,2012,88.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2012-10-19,paranormal activity 4,5000000.0,"$53,900,335",142817992.0,2012,10,2756.35984
tt2109248,"['Action', 'Adventure', 'Sci-Fi']",283486,5.7,2014,165.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,2014-06-27,transformers: age of extinction,210000000.0,"$245,439,076",1104039076.0,2014,6,425.7328933333333
tt2111292,['Action'],65,4.3,2015,82.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2014-12-31,diamond ruff,500000.0,$0,0.0,2014,12,-100.0
tt2112209,"['Comedy', 'Romance']",83,6.5,2013,86.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2014-07-01,mutual friends,450000.0,$0,0.0,2014,7,-100.0
tt2112277,"['Action', 'Crime', 'Drama']",2536,4.6,2014,96.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,2014-08-12,swelter,8000000.0,$0,44197.0,2014,8,-99.44753750000001
tt2113659,"['Comedy', 'Drama', 'Romance']",2711,6.5,2014,93.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,2014-11-07,elsa & fred,10000000.0,"$67,657",197901.0,2014,11,-98.02099
tt2118624,"['Comedy', 'Drama', 'Fantasy']",30219,6.6,2015,88.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2015-11-03,the final girls,4500000.0,$0,0.0,2015,11,-100.0
tt7011980,"['Comedy', 'Horror']",5,5.4,2018,45.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2015-11-03,the final girls,4500000.0,$0,0.0,2015,11,-100.0
tt2119532,"['Biography', 'Drama', 'History']",366904,8.1,2016,139.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,2016-11-04,hacksaw ridge,40000000.0,"$67,209,615",168904682.0,2016,11,322.261705
tt2119543,"['Comedy', 'Fantasy', 'Horror']",32995,6.0,2018,105.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2018-09-21,the house with a clock in its walls,40000000.0,"$68,549,695",126331750.0,2018,9,215.829375
